x11;1;1;1;1
x12;1;1;1;1
x13;1;1;1;1
x14;1;1;1;1
x15;0;0;0;0
x16;0;0;0;0
x17;1;1;1;1
x18;1;1;1;1
x21;1;1;1;1
x22;1;1;1;1
x23;1;1;1;1
x24;1;1;1;1
x25;0;0;0;0
x26;0;0;0;0
x27;1;1;1;1
x28;1;1;1;1
x31;0;0;0;0
x32;0;0;0;0
x33;0;0;0;0
x34;0;0;0;0
x35;0;0;0;0
x36;0;0;0;0
x37;1;1;1;1
x38;1;1;1;1
x41;0;0;0;0
x42;0;0;0;0
x43;0;0;0;0
x44;0;0;0;0
x45;0;0;0;0
x46;0;0;0;0
x47;1;1;1;1
x48;1;1;1;1
x51;1;1;1;1
x52;1;1;1;1
x53;1;0;0;0
x54;1;0;0;0
x55;0;0;0;0
x56;0;0;0;0
x57;0;0;0;0
x58;0;0;0;0
x61;1;1;1;1
x62;1;1;1;1
x63;1;0;0;0
x64;1;0;0;0
x65;0;1;0;0
x66;0;0;0;0
x67;0;0;0;0
x68;0;0;0;0
x71;0;1;1;1
x72;0;1;1;1
x73;0;0;0;0
x74;0;0;0;0
x75;0;1;1;1
x76;0;1;1;1
x77;0;1;1;1
x78;1;0;1;1
x81;0;1;1;1
x82;0;1;1;1
x83;0;0;0;0
x84;0;0;0;0
x85;0;0;1;1
x86;1;0;1;1
x87;0;1;1;1
x88;0;1;1;1
