x11;0;0;0;0
x12;1;1;0;0
x13;1;0;1;1
x14;0;0;1;1
x15;0;0;1;1
x16;0;0;1;1
x17;0;1;0;0
x18;0;0;0;0
x21;1;0;0;0
x22;0;0;1;1
x23;1;1;0;0
x24;1;1;1;1
x25;1;1;1;1
x26;0;0;0;0
x27;0;0;1;1
x28;0;0;0;0
x31;1;1;0;0
x32;0;1;1;1
x33;1;1;1;1
x34;1;0;1;1
x35;0;1;1;1
x36;1;1;1;1
x37;0;0;1;1
x38;0;1;0;0
x41;0;0;1;1
x42;1;1;0;0
x43;1;0;0;0
x44;1;0;0;0
x45;0;0;0;0
x46;0;1;0;0
x47;0;1;0;0
x48;0;0;1;1
x51;0;1;1;1
x52;0;1;0;0
x53;0;1;0;0
x54;0;0;0;0
x55;1;0;0;0
x56;0;1;0;0
x57;0;1;0;0
x58;0;1;1;1
x61;0;1;0;0
x62;0;0;1;1
x63;0;1;1;1
x64;0;0;1;1
x65;0;0;1;1
x66;0;1;1;1
x67;0;0;1;1
x68;0;1;0;0
x71;0;0;0;0
x72;0;1;1;1
x73;0;1;0;0
x74;0;0;1;1
x75;0;0;1;1
x76;0;1;0;0
x77;0;1;1;1
x78;0;0;0;0
x81;0;0;0;0
x82;0;0;0;0
x83;0;0;1;1
x84;0;1;1;1
x85;0;1;1;1
x86;0;0;1;1
x87;0;0;0;0
x88;0;0;0;0
