x11;1;1;1;1;1;1
x12;1;1;1;1;1;1
x13;0;0;0;0;1;1
x14;1;1;1;0;0;0
x15;1;1;1;1;0;0
x16;0;0;0;0;1;1
x17;0;0;0;1;1;1
x18;1;1;1;0;1;1
x21;0;0;0;0;1;1
x22;0;0;0;0;0;0
x23;1;1;1;1;1;1
x24;1;1;1;1;0;0
x25;0;0;0;1;0;0
x26;1;1;1;1;1;1
x27;1;1;1;0;0;0
x28;0;0;0;0;1;1
x31;0;0;0;0;1;1
x32;1;1;1;1;1;1
x33;1;1;1;1;1;1
x34;0;0;0;1;0;0
x35;0;0;0;0;0;0
x36;0;0;0;0;1;1
x37;1;1;1;0;1;1
x38;0;0;0;1;1;1
x41;0;0;0;0;0;0
x42;0;0;0;0;0;0
x43;0;0;0;0;0;0
x44;0;0;0;0;0;0
x45;0;0;0;0;0;0
x46;1;1;1;0;0;0
x47;0;0;0;0;0;0
x48;0;0;0;0;0;0
x51;0;0;0;0;0;0
x52;0;0;0;0;0;0
x53;0;0;0;0;0;0
x54;0;0;0;0;0;0
x55;1;1;0;0;0;0
x56;1;1;1;1;0;0
x57;0;0;1;0;0;0
x58;0;0;0;1;0;0
x61;1;0;0;1;1;1
x62;1;1;1;1;1;1
x63;1;1;1;1;1;1
x64;1;0;0;0;0;0
x65;0;0;0;0;0;0
x66;0;1;0;1;1;1
x67;1;1;1;1;1;1
x68;0;1;0;1;1;1
x71;0;1;1;1;1;1
x72;0;0;0;0;0;0
x73;1;1;1;1;1;1
x74;0;0;0;0;0;0
x75;0;0;0;0;0;0
x76;0;0;1;1;1;1
x77;0;0;1;1;0;0
x78;0;0;1;1;1;1
x81;1;1;1;1;1;1
x82;1;0;0;1;1;1
x83;1;1;1;1;1;1
x84;0;0;1;0;0;0
x85;0;1;1;0;0;0
x86;0;0;1;1;1;1
x87;0;1;0;0;1;1
x88;0;0;0;1;1;1
